ANE_smear,K,c_rel,coherence_gamma,delta_tensor,dt,entropy,proper_time,r,s_Pl,spectral_dim,timestamp
1.1769109439216556e-34,0.75,1.0,0.9998713731765747,0.0,0.05,0.0005,0.05,0.1,1.000001,0.0,2025-08-12T02:02:32.854502+00:00
0.05000005,0.875,1.0,0.9997427628980091,0.0,0.05,0.001,0.1,0.2,1.000001,0.0,2025-08-12T02:02:36.210253+00:00
0.1000001,1.0,1.0,0.9996141691621752,0.0,0.05,0.0015,0.15000000000000002,0.30000000000000004,1.000001,0.0,2025-08-12T02:02:38.493371+00:00
0.15000015,1.0,1.0,0.9994855323852975,0.0,0.05,0.002,0.2,0.4,1.000001,0.0,2025-08-12T02:02:41.856808+00:00
0.2000002,1.0,1.0,0.9993569121622271,0.0,0.05,0.0025,0.25,0.5,1.000001,0.0,2025-08-12T02:02:44.146361+00:00
